step,epoch,loss,lr,grad_norm,elapsed,analogy_acc
10000,1,2.704505,0.024796,0.246191,353.0,
20000,1,2.780257,0.024592,0.141249,687.9,
30000,1,2.652661,0.024388,0.126278,1039.9,
